0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
9,2024학년도 [구조개편 전],8,생명과학대학자유전공학부,2025학년도 [구조개편 후],33,없음,,,,,,,,,,,,,,,,,
9,단과대학,모집단위,"모집인원
(정원내)",모집단위,"모집인원
(정원내)",단과대학,,,,,,,,,,,,,,,,,
9,9,미래에너지공학과,40,화공학부,62,공과대학,,,,,,,,,,,,,,,,,
9,9,화학공학부,160,40,화공학부,62,,,,,,,,,,,,,,,,,
9,9,9,화학공학부,재료공학과,55,화공학부,,,,,,,,,,,,,,,,,
9,9,기계항공공학부,151,기계·로봇·자동차공학부,70,55,,,,,,,,,,,,,,,,,
9,9,9,기계항공공학부,항공우주·모빌리티공학과,45,70,,,,,,,,,,,,,,,,,
9,9,스마트운행체공학과,40,기계항공공학부,항공우주·모빌리티공학과,45,,,,,,,,,,,,,,,,,
9,9,화장품공학과,40,생물공학과,42,항공우주·모빌리티공학과,,,,,,,,,,,,,,,,,
9,9,생물공학과,30,40,생물공학과,42,,,,,,,,,,,,,,,,,
9,9,컴퓨터공학부,143,컴퓨터공학부,100,생물공학과,,,,,,,,,,,,,,,,,
9,9,스마트ICT융합공학과,40,143,컴퓨터공학부,100,,,,,,,,,,,,,,,,,
9,9,줄기세포재생공학과,43,첨단바이오공학부,45,융합과학기술원,,,,,,,,,,,,,,,,,
9,9,의생명공학과,40,43,첨단바이오공학부,45,,,,,,,,,,,,,,,,,
9,9,동물자원과학과,49,동물자원·식품과학·유통학부,95,생명과학대학,,,,,,,,,,,,,,,,,
9,9,축산식품생명공학과,46,49,동물자원·식품과학·유통학부,95,,,,,,,,,,,,,,,,,
9,9,식품유통공학과,30,46,49,동물자원·식품과학·유통학부,,,,,,,,,,,,,,,,,
9,9,환경보건과학과,34,환경보건·산림조경학부,52,49,,,,,,,,,,,,,,,,,
9,9,산림조경학과,34,34,환경보건·산림조경학부,52,,,,,,,,,,,,,,,,,
9,9,융합인재학과,38,(폐지),34,환경보건·산림조경학부,,,,,,,,,,,,,,,,,
9,9,글로벌비즈니스학과,28,(폐지),(폐지),34,,,,,,,,,,,,,,,,,
10,전형,2024학년도,2025학년도,,,,,,,,,,,,,,,,,,,,
10,실기/실적위주,"[KU체육특기자] 학교폭력 조치사항을 면접에서
정성평가로 반영","학교폭력 조치사항 기재항목에 따른 감점표로
총점에서 감점",,,,,,,,,,,,,,,,,,,,
10,학생부종합,서류평가 및 면접평가에서 정성평가로 반영,"[KU체육특기자] 학교폭력 조치사항을 면접에서
정성평가로 반영",,,,,,,,,,,,,,,,,,,,
10,학생부교과,-,서류평가 및 면접평가에서 정성평가로 반영,,,,,,,,,,,,,,,,,,,,
10,논술위주,학생부교과,-,,,,,,,,,,,,,,,,,,,,
10,"「 」
학교폭력예방 및 대책에 관한 법률 제17조 제1항",감점비율,,,,,,,,,,,,,,,,,,,,,
10,제1호 (피해학생에 대한 서면사과),"「 」
학교폭력예방 및 대책에 관한 법률 제17조 제1항",,,,,,,,,,,,,,,,,,,,,
10,"제2호 (피해학생 신고·고발 학생에 대한 접촉, 협박 및 보복행위의 금지)",제1호 (피해학생에 대한 서면사과),,,,,,,,,,,,,,,,,,,,,
10,제3호 (학교에서의 봉사),"제2호 (피해학생 신고·고발 학생에 대한 접촉, 협박 및 보복행위의 금지)",,,,,,,,,,,,,,,,,,,,,
10,제4호 (사회봉사),제3호 (학교에서의 봉사),,,,,,,,,,,,,,,,,,,,,
10,제5호 (학내외 전문가에 의한 특별교육 이수 또는 심리치료),제4호 (사회봉사),,,,,,,,,,,,,,,,,,,,,
10,제6호 (출석정지),제5호 (학내외 전문가에 의한 특별교육 이수 또는 심리치료),,,,,,,,,,,,,,,,,,,,,
10,제7호 (학급교체),제6호 (출석정지),,,,,,,,,,,,,,,,,,,,,
10,제8호 (전학),제7호 (학급교체),,,,,,,,,,,,,,,,,,,,,
10,제9호 (퇴학처분),제8호 (전학),,,,,,,,,,,,,,,,,,,,,
10,구분,2024학년도,2025학년도,,,,,,,,,,,,,,,,,,,,
10,모집시기,수시,정시,,,,,,,,,,,,,,,,,,,,
10,전형유형,학생부종합,수능위주,,,,,,,,,,,,,,,,,,,,
10,전형방법,서류평가 70% + 학생부(교과) 30%,수능 100%,,,,,,,,,,,,,,,,,,,,
10,구분,2024학년도,2025학년도,공통,,,,,,,,,,,,,,,,,,,
10,인문,"국, 수, 영, 사/과탐(1과목) 중 2개 등급 합 5","국, 수, 영, 사/과탐(1과목)* 중 2개 등급 합 5",2025학년도,,,,,,,,,,,,,,,,,,,
10,자연,"국, 수, 영, 과탐(1과목) 중 2개 등급 합 5","국, 수, 영, 사/과탐(1과목) 중 2개 등급 합 5","국, 수, 영, 사/과탐(1과목)* 중 2개 등급 합 5",,,,,,,,,,,,,,,,,,,
10,KU자유전공학부,-,"국, 수, 영, 과탐(1과목) 중 2개 등급 합 5","국, 수, 영, 사/과탐(1과목) 중 2개 등급 합 5",,,,,,,,,,,,,,,,,,,
10,수의예과,"국, 수, 영, 과탐(1과목) 중 3개 등급 합 4","국, 수, 영, 사/과탐(1과목)* 중 3개 등급 합 4","국, 수, 영, 과탐(1과목) 중 2개 등급 합 5",,,,,,,,,,,,,,,,,,,
10,비고,"[인문] 선택과목 제한없음
[자연·수의예과]
·수학: 미적분 또는 기하 중 택1
·탐구: 과학과목 중 2과목 응시","[인문·자연·수의예과·KU자유전공학부]
선택과목 지정 폐지
*사/과탐: 2 과목을 응시하여 그중 높은 과목 반영","국, 수, 영, 사/과탐(1과목)* 중 3개 등급 합 4",,,,,,,,,,,,,,,,,,,
11,구분,2024학년도,2025학년도,,,,,,,,,,,,,,,,,,,,
11,지원자격,"·국 내 고등학교 졸업(예정)자로서 5학기 이상의 교육과정을
이수하고, 고등학교장의 추천을 받은 자
※ 지원 불가
- 특 성화고, 마이스터고, 전문계과정(일반고, 종합고),
영재학교, 예술고, 체육고, 학력인정 평생교육시설,
비인가 대안학교, 방송통신고, 고등기술학교
졸업(예정)자
- 학 생부 교과목별 석차등급을 산출할 수 없는 자","·국 내 고등학교에서 5학기 이상의 교육과정을 이수한
졸업(예정)자로서, 고등학교장의 추천을 받은 자
※ 지원 불가
- 특 성화고, 산업수요맞춤형고, 전문계과정(일반고,
종합고), 영재학교, 예술고, 체육고, 학력인정
평생교육시설, 비인가 대안학교, 방송통신고,
고등기술학교, 각종학교<추가> 졸업(예정)자
- 학 생부 교과목별 석차등급을 산출할 수 없는 자",,,,,,,,,,,,,,,,,,,,
11,2024학년도,2025학년도,,,,,,,,,,,,,,,,,,,,,
