Page,0,1,2,3,4,5,6,7,8,9,10,11,12
10,"/ 실
면접
기","시험장
발표",2026. 1. 2. (금),,"•  성균관대학교 입학처 홈페이지 
(https://admission.skku.edu)",,,,,,,,
10,,실기,미술학과,2026. 1. 6. (화),•  인문사회과학캠퍼스 (서울),,,,,,,,
10,,,디자인학과,2026. 1. 7. (수),,,,,,,,,
10,,,스포츠과학과,2026. 1. 9. (금),•  자연과학캠퍼스 (수원),,,,,,,,
10,,면접,의예과,2026. 1. 10. (토),"•  성균관대학교 입학처 홈페이지 
(https://admission.skku.edu)",,,,,,,,
10,합격자 발표,,2026. 2. 2. (월) 이전,,"•  성균관대학교 입학처 홈페이지 
(https://admission.skku.edu)",,,,,,,,
10,"합격자 등록
(최초)",,2026. 2. 3. (화) ~ 2. 5. (목) 16:00,,•  등록방법은 합격자 발표 시 공고,,,,,,,,
10,추가합격자 발표,,2026. 2. 6. (금) ~ 2. 12. (목) 18:00,,"•  추가합격자 등록 마감일 
: 2026. 2. 13. (금)",,,,,,,,
11,계열,설치	학부/학과,,,,,,,,,,,
11,인문과학계열,"유학·동양학과, 국어국문학과, 영어영문학과, 프랑스어문학과, 중어중문학과, 독어독문학과, 러시아어문학과, 
한문학과, 사학과, 철학과, 문헌정보학과",,,,,,,,,,,
11,사회과학계열,"행정학과, 정치외교학과, 미디어커뮤니케이션학과, 사회학과, 사회복지학과, 심리학과, 소비자학과, 
아동·청소년학과, 경제학과, 통계학과",,,,,,,,,,,
11,자연과학계열,"생명과학과, 수학과, 물리학과, 화학과, 식품생명공학과, 바이오메카트로닉스학과, 융합생명공학과",,,,,,,,,,,
11,공학계열,"화학공학부, 신소재공학부, 기계공학부, 건설환경공학부, 시스템경영공학과, 나노공학과",,,,,,,,,,,
12,구분,지원자격	관련	서류,기타	서류,,,,,,,,,,
12,일반전형 (수능 위주),×,×,,,,,,,,,,
12,정원외 농어촌학생 특별전형* (수능 위주),"○
지원자격별 입증서류",×,,,,,,,,,,
12,정원외 특성화고졸재직자 특별전형* (학생부 위주),"○
지원자격별 입증서류","△ (선택)
직무기술서",,,,,,,,,,
12,"특성화고
정원외
특별전형**
이웃사랑
(수능 위주)
장애인등","○
지원자격별 입증서류",×,,,,,,,,,,
12,,,×,,,,,,,,,,
12,,,×,,,,,,,,,,
12,해당자,,제출서류,,,,,,,,,,
12,"국내
고등학교
졸업자","- 학생부 시스템 미설치교 출신자
- 2021년 2월 이전 졸업자
- 학생부 온라인제공에 동의하지 않은 자","•  입학원서, 학교생활기록부 (대입전형용) 각	1부
※ 05. 2.~21. 2. 졸업자 중 온라인 신청자는 제출 불필요",,,,,,,,,,
12,"외국 소재
고등학교
졸업자",재외한국학교,•  동 표 “국내 고등학교 졸업자”와 동일 기준으로 진행,,,,,,,,,,
12,,외국 현지 고등학교,"•  입학원서, 졸업 (예정)증명서, 성적증명서 각	1부
•  단,	사범대학	모집단위의	경우 국내 학생부 (국내 고교 재학 사실이 있는 경우),  
학교생활기록부 대체 서식 (선택) 추가 제출",,,,,,,,,,
12,국내 학력인정 외국교육기관 출신자,,"•  입학원서, 졸업 (예정)증명서, 성적증명서 각	1부
•  단,	사범대학	모집단위의	경우 국내 학생부 (국내 고교 재학 사실이 있는 경우),  
학교생활기록부 대체 서식 (선택) 추가 제출",,,,,,,,,,
12,"검정고시 출신자
(고교 재학사실 무관 검정고시 출신자
지원자격으로 지원하는 모든 지원자)",,"•  입학원서, 검정고시 합격증명서 각	1부 
- 원서접수시 온라인 제출
•  단,	사범대학	모집단위의	경우 검정고시 성적증명서 (필수),  
학교생활기록부 대체 서식 (선택) 추가 제출",,,,,,,,,,
12,제출서류와 성명 또는 주민등록번호가 다른 지원자,,"•  입학원서, 주민등록표초본 각	1부",,,,,,,,,,
12,정원외 특별전형 지원자,,•  지원자격 관련 서류 (각 특별전형별 안내 페이지에서 별도 안내),,,,,,,,,,
13,구	분,모집단위,전형료,비	고,,,,,,,,,
13,일반전형,"전체 모집단위
(아래 제외)","30,000원",,,,,,,,,,
13,,의예과,"50,000원",면접시험,,,,,,,,,
13,,"미술학과, 디자인학과, 스포츠과학과","95,000원",실기시험,,,,,,,,,
13,특별전형,"전체 모집단위
(아래 제외)","30,000원",농어촌 특별전형,,,,,,,,,
13,,"응용AI융합학부
(AI융합운영, 산업인공지능)","60,000원",특성화고졸 재직자,,,,,,,,,
14,반환대상자,해당	자격,,,,,,,,,,,
14,국가보훈대상자,「국가보훈기본법」 제3조 제2호에 따른 ‘국가보훈대상자’로서 국가보훈관계 법령에 따른 교육지원대상자,,,,,,,,,,,
14,국민기초생활수급자,"「국민기초생활보장법」 제2조 제1호 (수급권자), 제2호 (수급자)",,,,,,,,,,,
14,차상위계층,"「국민기초생활보장법」 제2조 제10호의 차상위계층에 속하는 자로서 차상위 복지급여 (차상위 자활, 차상위 장애
수당, 차상위 장애인연금부가급여, 차상위 건강보험본인부담금 경감) 중 하나 이상을 받고 있는 가구의 학생 또는 
차상위계층 확인사업 대상 가구 (구 우선돌봄 차상위가구)의 학생",,,,,,,,,,,
14,한부모가족,「한부모가족지원법」 제5조 및 제5조의2에 따른 지원대상자,,,,,,,,,,,
14,장애인 등,"「장애인복지법」 제32조에 의하여 장애인 등록이 되어 있는 자 (※ 장애의 정도가 심하지 않은 장애인 포함) 혹은 
「장애인 등에 대한 특수교육법」 제15조 제1항의 규정에 따른 대상자",,,,,,,,,,,
14,상이등급자,"기타 국가보훈 관계법령*에 의한 상이등급자로 등록되어 있는 자
* 「국가유공자 등 예우 및 지원에 관한 법률」, 「특수임무유공자 예우 및 단체설립에 관한 법률」, 「보훈보상대상자 지원에 
관한 법률」 등",,,,,,,,,,,
14,자립지원대상자,「아동복지법」 시행령 제38조 제2항에 따른 자립지원 대상자,,,,,,,,,,,
14,구분,자격증빙서류,,,,,,,,,,,
14,지원자 전원,입학원서,,,,,,,,,,,
14,국가보훈대상자,대학입학특별전형대상자증명서 (지원자 기준) 1부,,,,,,,,,,,
14,국민기초생활수급자,수급자 증명서 (지원자 기준) 1부,,,,,,,,,,,
14,차상위계층,"① 아래 해당 확인서 (증명서) 1부
 
-   시·군·구청장 또는 읍·면·동주민센터장이 발급하는 「자활근로자, 장애 (아동)수당 대상자, 장애인연금 대상자, 
차상위계층 확인서」
 
-   국민건강보험공단 이사장이 발행하는 「차상위 본인부담경감 대상자 증명서」
② 가족관계증명서 (지원자 기준) 1부
③ 주민등록표등본 (지원자 기준, 주민등록번호와 세대정보 모두 포함) 1부",,,,,,,,,,,
14,한부모가족,한부모가족증명서 (지원자 기준) 1부,,,,,,,,,,,
14,장애인 등 / 상이등급자,"장애인증명서, 특수교육 대상자 증명서 (고교 배치 결과통지서 등) 또는 상이정도가 명시된 국가보훈대상자 (국가
유공자 등) 증명서 (지원자 기준) 중 1부 (최근 1개월 이내 발급)",,,,,,,,,,,
